# Default public DNS resolver database for dns-speedtest.
# Format (TAB-separated):
#   enabled  provider  ip  service_type  filtering  notes  source
#
# enabled: 1/0, yes/no, true/false
# Filtering resolvers are labeled and disabled by default so they are not
# silently compared as equivalent to unfiltered resolvers.
# IPv6 rows are accepted by the parser; bundled defaults that are enabled
# are IPv4 for predictable out-of-the-box operation.
#
# Addresses verified against official provider documentation on 2026-08-16.
# See docs/SOURCES.md.

# --- Cloudflare Public DNS (https://developers.cloudflare.com/1.1.1.1/ip-addresses/) ---
# Three product categories: unfiltered (1.1.1.1), malware (1.1.1.2), family (1.1.1.3).
# IPv4 secondaries are enabled. IPv6 stays disabled for predictable IPv4-only runs.
1	Cloudflare	1.1.1.1	public	none	Standard 1.1.1.1 unfiltered resolver	https://developers.cloudflare.com/1.1.1.1/ip-addresses/
1	Cloudflare	1.0.0.1	public	none	Standard 1.1.1.1 secondary unfiltered resolver	https://developers.cloudflare.com/1.1.1.1/ip-addresses/
1	Cloudflare	1.1.1.2	public	malware	1.1.1.1 for Families: block malware	https://developers.cloudflare.com/1.1.1.1/ip-addresses/
1	Cloudflare	1.0.0.2	public	malware	1.1.1.1 for Families secondary: block malware	https://developers.cloudflare.com/1.1.1.1/ip-addresses/
1	Cloudflare	1.1.1.3	public	family	1.1.1.1 for Families: block malware and adult content	https://developers.cloudflare.com/1.1.1.1/ip-addresses/
1	Cloudflare	1.0.0.3	public	family	1.1.1.1 for Families secondary: malware and adult content	https://developers.cloudflare.com/1.1.1.1/ip-addresses/
0	Cloudflare	2606:4700:4700::1111	public	none	Standard 1.1.1.1 unfiltered IPv6	https://developers.cloudflare.com/1.1.1.1/ip-addresses/
0	Cloudflare	2606:4700:4700::1001	public	none	Standard 1.1.1.1 secondary unfiltered IPv6	https://developers.cloudflare.com/1.1.1.1/ip-addresses/
0	Cloudflare	2606:4700:4700::1112	public	malware	1.1.1.1 for Families malware IPv6	https://developers.cloudflare.com/1.1.1.1/ip-addresses/
0	Cloudflare	2606:4700:4700::1002	public	malware	1.1.1.1 for Families malware secondary IPv6	https://developers.cloudflare.com/1.1.1.1/ip-addresses/
0	Cloudflare	2606:4700:4700::1113	public	family	1.1.1.1 for Families malware+adult IPv6	https://developers.cloudflare.com/1.1.1.1/ip-addresses/
0	Cloudflare	2606:4700:4700::1003	public	family	1.1.1.1 for Families malware+adult secondary IPv6	https://developers.cloudflare.com/1.1.1.1/ip-addresses/

# --- Google Public DNS (https://developers.google.com/speed/public-dns/docs/using) ---
1	Google	8.8.8.8	public	none	Google Public DNS primary	https://developers.google.com/speed/public-dns/docs/using
1	Google	8.8.4.4	public	none	Google Public DNS secondary	https://developers.google.com/speed/public-dns/docs/using
0	Google	2001:4860:4860::8888	public	none	Google Public DNS IPv6 primary	https://developers.google.com/speed/public-dns/docs/using
0	Google	2001:4860:4860::8844	public	none	Google Public DNS IPv6 secondary	https://developers.google.com/speed/public-dns/docs/using

# --- Quad9 (https://quad9.net/service/service-addresses-and-features/) ---
# 9.9.9.9 is Quad9's default service: malware/phishing blocklist + DNSSEC.
1	Quad9	9.9.9.9	public	malware	Quad9 default: malware/phishing blocklist, DNSSEC, no ECS	https://quad9.net/service/service-addresses-and-features/
1	Quad9	149.112.112.112	public	malware	Quad9 default secondary	https://quad9.net/service/service-addresses-and-features/
0	Quad9	9.9.9.10	public	none	Quad9 unsecured: no blocklist, no DNSSEC (experts)	https://quad9.net/service/service-addresses-and-features/
0	Quad9	149.112.112.10	public	none	Quad9 unsecured secondary	https://quad9.net/service/service-addresses-and-features/
0	Quad9	9.9.9.11	public	malware	Quad9 secured with ECS	https://quad9.net/service/service-addresses-and-features/
0	Quad9	149.112.112.11	public	malware	Quad9 secured with ECS secondary	https://quad9.net/service/service-addresses-and-features/

# --- Cisco OpenDNS (https://www.opendns.com/setupguide/) ---
# Consumer OpenDNS Home nameservers include phishing protection.
1	OpenDNS	208.67.222.222	public	phishing	OpenDNS Home primary (phishing protection)	https://www.opendns.com/setupguide/
1	OpenDNS	208.67.220.220	public	phishing	OpenDNS Home secondary (phishing protection)	https://www.opendns.com/setupguide/
0	OpenDNS	208.67.222.123	public	family	OpenDNS FamilyShield primary (adult content + phishing)	https://www.opendns.com/setupguide/
0	OpenDNS	208.67.220.123	public	family	OpenDNS FamilyShield secondary	https://www.opendns.com/setupguide/

# --- AdGuard Public DNS (https://adguard-dns.io/en/public-dns.html) ---
# Default AdGuard DNS blocks ads/trackers. The non-filtering server is the
# fair general-purpose comparison target and is enabled by default.
1	AdGuard	94.140.14.140	public	none	AdGuard official non-filtering server	https://adguard-dns.io/en/public-dns.html
1	AdGuard	94.140.14.141	public	none	AdGuard official non-filtering secondary	https://adguard-dns.io/en/public-dns.html
0	AdGuard	94.140.14.14	public	ads	AdGuard Default: block ads, trackers, malware, phishing	https://adguard-dns.io/en/public-dns.html
0	AdGuard	94.140.15.15	public	ads	AdGuard Default secondary	https://adguard-dns.io/en/public-dns.html
0	AdGuard	94.140.14.15	public	family	AdGuard Family protection: ads + adult content + Safe Search	https://adguard-dns.io/en/public-dns.html
0	AdGuard	94.140.15.16	public	family	AdGuard Family protection secondary	https://adguard-dns.io/en/public-dns.html

# --- TurkNet ISP DNS ---
# Hostnames: dns1.turk.net = 193.192.98.8, dns2.turk.net = 212.154.100.18.
# ISP recursive resolvers (AS12735), not a global public anycast product.
# 212.154.100.10 (ns.turknet.net.tr) REFUSES recursion — not a resolver.
1	TurkNet	193.192.98.8	isp	none	dns1.turk.net — TurkNet recursive primary	dns1.turk.net
1	TurkNet	212.154.100.18	isp	none	dns2.turk.net — TurkNet recursive secondary	dns2.turk.net

# --- Control D Free DNS (https://docs.controld.com/docs/free-dns) ---
1	Control D	76.76.2.0	public	none	Control D free unfiltered primary	https://docs.controld.com/docs/free-dns
1	Control D	76.76.10.0	public	none	Control D free unfiltered secondary	https://docs.controld.com/docs/free-dns
0	Control D	76.76.2.1	public	malware	Control D free malware primary	https://docs.controld.com/docs/free-dns
0	Control D	76.76.10.1	public	malware	Control D free malware secondary	https://docs.controld.com/docs/free-dns
0	Control D	76.76.2.4	public	family	Control D free Family Friendly primary	https://docs.controld.com/docs/free-dns
0	Control D	76.76.10.4	public	family	Control D free Family Friendly secondary	https://docs.controld.com/docs/free-dns

# --- CIRA Canadian Shield (https://www.cira.ca/en/canadian-shield/configure/summary-cira-canadian-shield-dns-resolver-addresses/) ---
1	CIRA	149.112.121.10	public	none	Canadian Shield Private (resolution only) primary	https://www.cira.ca/en/canadian-shield/configure/summary-cira-canadian-shield-dns-resolver-addresses/
1	CIRA	149.112.122.10	public	none	Canadian Shield Private secondary	https://www.cira.ca/en/canadian-shield/configure/summary-cira-canadian-shield-dns-resolver-addresses/
0	CIRA	149.112.121.20	public	malware	Canadian Shield Protected (malware/phishing) primary	https://www.cira.ca/en/canadian-shield/configure/summary-cira-canadian-shield-dns-resolver-addresses/
0	CIRA	149.112.122.20	public	malware	Canadian Shield Protected secondary	https://www.cira.ca/en/canadian-shield/configure/summary-cira-canadian-shield-dns-resolver-addresses/
0	CIRA	149.112.121.30	public	family	Canadian Shield Family primary	https://www.cira.ca/en/canadian-shield/configure/summary-cira-canadian-shield-dns-resolver-addresses/
0	CIRA	149.112.122.30	public	family	Canadian Shield Family secondary	https://www.cira.ca/en/canadian-shield/configure/summary-cira-canadian-shield-dns-resolver-addresses/

# --- CleanBrowsing (https://cleanbrowsing.org/filters) ---
# Security Filter is the closest general-purpose option (malware/phishing only).
1	CleanBrowsing	185.228.168.9	public	malware	Security Filter primary (malware/phishing, no adult block)	https://cleanbrowsing.org/filters
1	CleanBrowsing	185.228.169.9	public	malware	Security Filter secondary	https://cleanbrowsing.org/filters
0	CleanBrowsing	185.228.168.168	public	family	Family Filter primary (adult + malware)	https://cleanbrowsing.org/filters
0	CleanBrowsing	185.228.169.168	public	family	Family Filter secondary	https://cleanbrowsing.org/filters
0	CleanBrowsing	185.228.168.10	public	family	Adult Filter primary	https://cleanbrowsing.org/filters
0	CleanBrowsing	185.228.169.11	public	family	Adult Filter secondary	https://cleanbrowsing.org/filters

# --- DNS4EU Public Service (https://joindns4.eu/for-public) ---
